id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,stock_status,is_active,last_updated_at,notes,created_by_id,record_sequence_number
b6165b6a-aed7-4343-ac48-4745eee0d46e,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4863,225,4638,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,187225.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-01,,bae892d8-0f9e-4d43-bdcf-953c592db277,1
4b5ace67-e03d-4de7-b5c7-f0210ecad166,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4836,225,4611,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,186186.0,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-02,,bae892d8-0f9e-4d43-bdcf-953c592db277,2
34ee9ac3-e955-4ae7-bf25-150f98939bb8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4808,225,4583,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,185108.0,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-03,,bae892d8-0f9e-4d43-bdcf-953c592db277,3
30fc1d63-a1c0-4a42-b23c-726158154be8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4777,225,4552,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,183914.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-04,,bae892d8-0f9e-4d43-bdcf-953c592db277,4
636c077d-f956-47f4-a294-9dd9bd3188c7,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4743,225,4518,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,182605.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-05,,bae892d8-0f9e-4d43-bdcf-953c592db277,5
efe7ec3e-7240-4902-8b0f-fb6a7d6090b8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4709,225,4484,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,181296.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-06,,bae892d8-0f9e-4d43-bdcf-953c592db277,6
3c3c1afd-45dc-4733-98ec-73229b1ea05c,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4682,225,4457,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,180257.0,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-07,,bae892d8-0f9e-4d43-bdcf-953c592db277,7
70716397-e5f9-4b0a-b348-1d14fe00a57f,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4653,225,4428,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,179140.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-08,,bae892d8-0f9e-4d43-bdcf-953c592db277,8
6367d3a7-59f6-4b5b-bfd2-0aab8ce564d1,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4621,225,4396,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,177908.5,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-09,,bae892d8-0f9e-4d43-bdcf-953c592db277,9
896ad074-4d9d-4232-a37e-df7245ce536b,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,4592,225,4367,153,199,598,854,30.11,2025-08-07,2025-09-22,38.5,176792.0,2026-05-18,BATCH-4523-47,Almacén Oeste,Pasillo-8-Estante-4-Nivel-5,3,False,2025-11-10,,bae892d8-0f9e-4d43-bdcf-953c592db277,10
8439b21a-87b7-4be8-94c3-96280b385097,2025-10-14 10:12:56.423905,PROD-23386B4F,Espárragos congelados,SKU-854554,SUP-E7B0D384,Lerma y Alemany S.L.,3479,423,3056,162,206,572,174,17.29,2025-08-26,2025-10-06,492.98,1715077.4200000002,2026-10-10,BATCH-1278-95,Almacén Oeste,Pasillo-5-Estante-9-Nivel-2,3,False,2025-11-01,Producto en buen estado,bee4965f-195f-4f7d-930b-3fc4fb56b37b,1
dc113829-e7c3-417b-8764-9800bf658d09,2025-10-14 10:12:56.423905,PROD-23386B4F,Espárragos congelados,SKU-854554,SUP-E7B0D384,Lerma y Alemany S.L.,3459,423,3036,162,206,572,174,17.29,2025-08-26,2025-10-06,492.98,1705217.82,2026-10-10,BATCH-1278-95,Almacén Oeste,Pasillo-5-Estante-9-Nivel-2,3,False,2025-11-02,Producto en buen estado,bee4965f-195f-4f7d-930b-3fc4fb56b37b,2
